date,bill_no,import_export,hs_code,product,product_detail,descript_label,seller,seller_country,seller_port,seller_country_ori,seller_id,seller_id_std,seller_type,buyer,buyer_country,buyer_port,buyer_country_ori,buyer_id,buyer_id_std,buyer_type,quantity,unit,weight_kg,weight_unit_orig,value_usd,uusd,origin_country,transport_mode,source,id,product_label
2025/10/27,107647081730.0,1.0,53013000,"Xơ lanh dạng ngắn( Scutched Flax Tow Fiber RF: ET-2) có nhãn hàng hóa , không hiệu,dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%","Xơ lanh dạng ngắn( Scutched Flax Tow Fiber RF: ET-2) có nhãn hàng hóa , không hiệu,dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%",[{'key': 'flax tow'}],liniere de bosc nouvel s.a.,France,,France,204842315.0,26725401.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,115120.0,kilograms,,,324397.7992,2.81791,france,sea (cont),vietnam_wmb04,-851378651,Scutched Flax Tow
2025/10/24,107641307430.0,,53013000,"Tô (Tow) Lanh dạng ngắn 4 D (dùng trong nhà máy dệt sợi), mới 100%. NSX : ARABIA FOR EXPORT.",,,hong kong fashion industrial limited,Egypt,--,Egypt,,,,công ty tnhh công nghệ kỹ thuật ngân hà,Vietnam,--,,,,,81268.0,kilograms,,,147013.812,1.809,,,,1dc6d2053b4e0fce75acfc997360b70f,Flax Tow
2025/10/24,107641281530.0,,53013000,"Tô (Tow) Lanh dạng ngắn (dùng trong nhà máy dệt sợi), mới 100%. NSX : FLOWER FLAX IMPORT AND EXPORT.",,,hong kong fashion industrial limited,Egypt,--,Egypt,,,,công ty tnhh công nghệ kỹ thuật ngân hà,Vietnam,--,,,,,209790.0,kilograms,,,355174.47,1.693,,,,d911ed88cc29e45961dbefa04332c08c,Flax Tow
2025/10/20,107626760840.0,1.0,53013000,"Xơ lanh dạng ngắn( Flax Fiber E8956 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Flax Fiber E8956 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],eurolinen pmde,France,,France,203443758.0,203443758.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,19020.0,kilograms,,,43957.3122,2.31111,france,sea (cont),vietnam_wmb04,-851378647,Short Flax Fiber
2025/10/20,107626760840.0,1.0,53013000,"Xơ lanh dạng ngắn( Flax Fiber E8955 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Flax Fiber E8955 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],eurolinen pmde,France,,France,203443758.0,203443758.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,19140.0,kilograms,,,49764.0,2.6,france,sea (cont),vietnam_wmb04,-851378648,Short Flax Fiber
2025/10/07,107594192860.0,1.0,53013000,"Xơ lanh dạng ngắn( Flax Tow Type 24.169 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa , không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Flax Tow Type 24.169 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa , không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],profillin n.v.,Italy,,France,209814316.0,20894237.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,25920.0,kilograms,,,34712.8416,1.33923,france,sea (cont),vietnam_wmb04,-851378646,Flax Tow
2025/09/29,107570549661.0,,53012900,"100% Linen Fiber (xơ lanh) xơ dệt gốc thực vật từ lanh đã chải chưa kéo thành sợi, type TGMM030W. Hàng mới 100%",,,.tung ga linen&cotton chan,China,--,China,,,,công ty tnhh thương mại sản xuất&dịch vụ hồng phúc long,Vietnam,--,,,,,30550.0,kilograms,,,302445.0,9.9,,,,c997eafba31ec79a55af34357e60ba14,Flax/Linen Fiber
2025/09/26,107562870660.0,1.0,53013000,"Xơ lanh dạng ngắn( Rescutched Flax short Fiber VHL ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Rescutched Flax short Fiber VHL ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],sarl jocelyn rifflart,France,,France,201760689.0,87014163.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,18080.0,kilograms,,,29638.0016,1.63927,france,sea (cont),vietnam_wmb04,-803394418,Rescutched Flax Tow
2025/09/25,107559673320.0,1.0,53013000,"Xơ lanh dạng ngắn( Scutched Flax short Fiber flax straw ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Scutched Flax short Fiber flax straw ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],"societe cooperative agricole l,a liniere",France,,France,209814318.0,209814318.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,13340.0,kilograms,,,3904.8848,0.29272,france,sea (cont),vietnam_wmb04,-803394417,Scutched Flax Tow
2025/09/25,107559673320.0,1.0,53013000,"Xơ lanh dạng ngắn( Scutched Flax short Fiber D41 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Scutched Flax short Fiber D41 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],"societe cooperative agricole l,a liniere",France,,France,209814318.0,209814318.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,22480.0,kilograms,,,63173.0712,2.81019,france,sea (cont),vietnam_wmb04,-803394415,Scutched Flax Tow
2025/09/25,107559673320.0,1.0,53013000,"Xơ lanh dạng ngắn( Scutched Flax short Fiber D44 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Scutched Flax short Fiber D44 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],"societe cooperative agricole l,a liniere",France,,France,209814318.0,209814318.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,22020.0,kilograms,,,61880.3838,2.81019,france,sea (cont),vietnam_wmb04,-803394416,Scutched Flax Tow
2025/09/24,107551630911.0,1.0,53013000,"Xơ lanh dạng ngắn - RE SCUTCHED TOW SHORT FLAX FIBER, tên khoa học: Linum usitatissimum, dùng trong sản xuất sợi, hàng mới 100%","Xơ lanh dạng ngắn - RE SCUTCHED TOW SHORT FLAX FIBER, tên khoa học: Linum usitatissimum, dùng trong sản xuất sợi, hàng mới 100%",[{'key': 'flax tow'}],tanta flax trade for imp&exp,Egypt,,Egypt,209814317.0,170791503.0,0.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,91415.0,kilograms,,,182830.0,2.0,egypt,sea (cont),vietnam_wmb04,-803394414,Rescutched Flax Tow
2025/09/19,107545004930.0,1.0,53013000,"Xơ lanh dạng ngắn( Flax Fiber E8957 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Flax Fiber E8957 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],eurolinen pmde,France,,France,203443758.0,203443758.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,41000.0,kilograms,,,109419.57,2.66877,france,sea (cont),vietnam_wmb04,-803394413,Short Flax Fiber
2025/09/16,107532527060.0,1.0,53013000,"Xơ lanh dạng ngắn( Flax Tow Type 24.169 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa , không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Flax Tow Type 24.169 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa , không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],profillin n.v.,Italy,,France,209814316.0,20894237.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,21440.0,kilograms,,,28609.1072,1.33438,france,sea (cont),vietnam_wmb04,-803394412,Flax Tow
2025/09/16,107534406010.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - Rescutched Flax Short Fiber VHL, tên khoa học: Linum usitatissimum. hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - Rescutched Flax Short Fiber VHL, tên khoa học: Linum usitatissimum. hàng mới 100%",[],sarl jocelyn rifflart,France,,France,201760689.0,87014163.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,38300.0,kilograms,,,58661.812,1.53164,france,sea (cont),vietnam_wmb04,-803394402,Rescutched Flax Tow
2025/09/15,107527838020.0,1.0,53013000,Xơ lanh dạng ngắn( Scutched Flax Tow Fiber RF: ET-0 ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,Xơ lanh dạng ngắn( Scutched Flax Tow Fiber RF: ET-0 ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,[{'key': 'flax tow'}],liniere de bosc nouvel s.a.,France,,France,204842315.0,26725401.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,20980.0,kilograms,,,52339.2256,2.49472,france,sea (cont),vietnam_wmb04,-803394411,Scutched Flax Tow
2025/09/13,107526740160.0,1.0,53013000,"Xơ lanh dạng ngắn( Flax Fiber E8960 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%","Xơ lanh dạng ngắn( Flax Fiber E8960 ) dùng làm nguyên liệu sản xuất sợi lanh,có nhãn hàng hóa, không hiệu - Hàng mới 100%",[{'key': 'flax tow'}],eurolinen pmde,France,,Belgium,208875370.0,203443758.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,38920.0,kilograms,,,80059.2184,2.05702,belgium,sea (cont),vietnam_wmb04,-803394410,Short Flax Fiber
2025/09/12,107504481010.0,1.0,53012100,Xơ lanh dạng ngắn (đã được chải thẳng) -SCUTCHED FLAX SHORT FIBER RF: ET-0D. Hàng mới 100%,Xơ lanh dạng ngắn (đã được chải thẳng) -SCUTCHED FLAX SHORT FIBER RF: ET-0D. Hàng mới 100%,[],liniere de bosc nouvel s.a.,France,,France,201760690.0,26725401.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,41640.0,kilograms,,,84210.654,2.02235,france,sea (cont),vietnam_wmb04,-803394400,Scutched Flax Tow
2025/09/12,107522360740.0,1.0,53013000,"Xơ lanh dạng ngắn( FLAX FIBRE TYPE 3418 ) dùng làm nguyên liệu sản xuất sợi lanh có nhãn hàng hóa , không hiệu .Hàng mới 100%","Xơ lanh dạng ngắn( FLAX FIBRE TYPE 3418 ) dùng làm nguyên liệu sản xuất sợi lanh có nhãn hàng hóa , không hiệu .Hàng mới 100%",[{'key': 'flax tow'}],vlasvezelbedrijf leon vandecasteele,Belgium,,Belgium,205967861.0,23789670.0,0.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,18480.0,kilograms,,,37373.028,2.02235,belgium,sea (cont),vietnam_wmb04,-803394406,Short Flax Fiber
2025/09/12,107504481010.0,1.0,53012100,Xơ lanh dạng ngắn (đã được chải thẳng) -SCUTCHED FLAX SHORT FIBER RF: ET-2. Hàng mới 100%,Xơ lanh dạng ngắn (đã được chải thẳng) -SCUTCHED FLAX SHORT FIBER RF: ET-2. Hàng mới 100%,[],liniere de bosc nouvel s.a.,France,,France,201760690.0,26725401.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,120660.0,kilograms,,,271904.8968,2.25348,france,sea (cont),vietnam_wmb04,-803394399,Scutched Flax Tow
2025/09/12,107522442860.0,1.0,53013000,"Xơ lanh dạng ngắn( SHORT FLAX FIBRE TYPE V ) dùng làm nguyên liệu sản xuất sợi lanh có nhãn hàng hóa , không hiệu .Hàng mới 100%","Xơ lanh dạng ngắn( SHORT FLAX FIBRE TYPE V ) dùng làm nguyên liệu sản xuất sợi lanh có nhãn hàng hóa , không hiệu .Hàng mới 100%",[{'key': 'flax tow'}],vlasvezelbedrijf leon vandecasteele,Belgium,,Belgium,205967861.0,23789670.0,0.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,20460.0,kilograms,,,52017.2994,2.54239,belgium,sea (cont),vietnam_wmb04,-803394408,Short Flax Fiber
2025/09/12,107522442860.0,1.0,53013000,"Xơ lanh dạng ngắn( SHORT FLAX FIBRE TYPE E ) dùng làm nguyên liệu sản xuất sợi lanh có nhãn hàng hóa , không hiệu .Hàng mới 100%","Xơ lanh dạng ngắn( SHORT FLAX FIBRE TYPE E ) dùng làm nguyên liệu sản xuất sợi lanh có nhãn hàng hóa , không hiệu .Hàng mới 100%",[{'key': 'flax tow'}],vlasvezelbedrijf leon vandecasteele,Belgium,,Belgium,205967861.0,23789670.0,0.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,23480.0,kilograms,,,65122.0148,2.77351,belgium,sea (cont),vietnam_wmb04,-803394407,Short Flax Fiber
2025/09/12,107522442860.0,1.0,53013000,"Xơ lanh dạng ngắn( SHORT FLAX FIBRE TYPE 3449 ) dùng làm nguyên liệu sản xuất sợi lanh có nhãn hàng hóa , không hiệu .Hàng mới 100%","Xơ lanh dạng ngắn( SHORT FLAX FIBRE TYPE 3449 ) dùng làm nguyên liệu sản xuất sợi lanh có nhãn hàng hóa , không hiệu .Hàng mới 100%",[{'key': 'flax tow'}],vlasvezelbedrijf leon vandecasteele,Belgium,,Belgium,205967861.0,23789670.0,0.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,23300.0,kilograms,,,65430.594,2.80818,belgium,sea (cont),vietnam_wmb04,-803394409,Short Flax Fiber
2025/09/08,107510733521.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - Rescutched Flax Short Fiber Type M0, tên khoa học: Linum usitatissimum, hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - Rescutched Flax Short Fiber Type M0, tên khoa học: Linum usitatissimum, hàng mới 100%",[],callin n.v.,Belgium,,Belgium,193130793.0,78834067.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,22120.0,kilograms,,,33231.3184,1.50232,belgium,sea (cont),vietnam_wmb04,-803394401,Rescutched Flax Tow
2025/09/08,107506921650.0,1.0,53013000,Xơ lanh dạng ngắn( Scutched Flax Tow Fiber RF: ET-0B ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,Xơ lanh dạng ngắn( Scutched Flax Tow Fiber RF: ET-0B ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,[{'key': 'flax tow'}],liniere de bosc nouvel s.a.,France,,France,204842315.0,26725401.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,48820.0,kilograms,,,121298.172,2.4846,france,sea (cont),vietnam_wmb04,-803394405,Scutched Flax Tow
2025/09/08,107506921650.0,1.0,53013000,Xơ lanh dạng ngắn( Scutched Flax Tow Fiber RF: ET-SC ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,Xơ lanh dạng ngắn( Scutched Flax Tow Fiber RF: ET-SC ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,[{'key': 'flax tow'}],liniere de bosc nouvel s.a.,France,,France,204842315.0,26725401.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,62820.0,kilograms,,,156082.572,2.4846,france,sea (cont),vietnam_wmb04,-803394404,Scutched Flax Tow
2025/09/03,107483838821.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX FIBER LOT 2, Tên khoa học: Linum usitatissimum,hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX FIBER LOT 2, Tên khoa học: Linum usitatissimum,hàng mới 100%",[],sas novalin france,Belgium,,France,205967863.0,20539025.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,22820.0,kilograms,,,42165.8832,1.84776,france,sea (cont),vietnam_wmb04,-803394397,Scutched Flax Tow
2025/09/03,107483838821.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX FIBER LOT 1, Tên khoa học: Linum usitatissimum, hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX FIBER LOT 1, Tên khoa học: Linum usitatissimum, hàng mới 100%",[],sas novalin france,Belgium,,France,205967863.0,20539025.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,23240.0,kilograms,,,42941.9424,1.84776,france,sea (cont),vietnam_wmb04,-803394396,Scutched Flax Tow
2025/09/03,107483838821.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX FIBER LOT 3, Tên khoa học: Linum usitatissimum,hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX FIBER LOT 3, Tên khoa học: Linum usitatissimum,hàng mới 100%",[],sas novalin france,Belgium,,France,205967863.0,20539025.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,23560.0,kilograms,,,43533.2256,1.84776,france,sea (cont),vietnam_wmb04,-803394398,Scutched Flax Tow
2025/08/29,107485135920.0,1.0,53013000,Xơ lanh dạng ngắn( Flax Fiber E8960 ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,Xơ lanh dạng ngắn( Flax Fiber E8960 ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,[{'key': 'flax tow'}],eurolinen pmde,France,,Belgium,208875370.0,203443758.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,38120.0,kilograms,,,75356.7596,1.97683,belgium,sea (cont),vietnam_wmb04,-765711576,Short Flax Fiber
2025/08/29,107485135920.0,1.0,53013000,Xơ lanh dạng ngắn( Flax Fiber E8959 ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,Xơ lanh dạng ngắn( Flax Fiber E8959 ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,[{'key': 'flax tow'}],eurolinen pmde,France,,Belgium,208875370.0,203443758.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,24120.0,kilograms,,,50485.8132,2.09311,belgium,sea (cont),vietnam_wmb04,-765711574,Short Flax Fiber
2025/08/29,107482451420.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 94205, tên khoa học: Linum usitatissimum. hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 94205, tên khoa học: Linum usitatissimum. hàng mới 100%",[],tex nord sas,France,,France,208875367.0,88211562.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,24120.0,kilograms,,,53290.728,2.2094,france,sea (cont),vietnam_wmb04,-765711560,Scutched Flax Tow
2025/08/29,107482451420.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 94236, tên khoa học: Linum usitatissimum. hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 94236, tên khoa học: Linum usitatissimum. hàng mới 100%",[],tex nord sas,France,,France,208875367.0,88211562.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,25180.0,kilograms,,,55632.692,2.2094,france,sea (cont),vietnam_wmb04,-765711559,Scutched Flax Tow
2025/08/29,107485135920.0,1.0,53013000,Xơ lanh dạng ngắn( Flax Fiber E8961 ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,Xơ lanh dạng ngắn( Flax Fiber E8961 ) dùng làm nguyên liệu sản xuất sợi lanh - Hàng mới 100%,[{'key': 'flax tow'}],eurolinen pmde,France,,Belgium,208875370.0,203443758.0,1.0,công ty tnhh dệt may suliman,Vietnam,,Vietnam,192224760.0,192224760.0,0.0,39880.0,kilograms,,,88110.872,2.2094,belgium,sea (cont),vietnam_wmb04,-765711575,Short Flax Fiber
2025/08/29,107482451420.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 24244, tên khoa học: Linum usitatissimum. hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 24244, tên khoa học: Linum usitatissimum. hàng mới 100%",[],tex nord sas,France,,France,208875367.0,88211562.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,24090.0,kilograms,,,56025.6312,2.32568,france,sea (cont),vietnam_wmb04,-765711563,Scutched Flax Tow
2025/08/29,107482451420.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 24235, tên khoa học: Linum usitatissimum. hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 24235, tên khoa học: Linum usitatissimum. hàng mới 100%",[],tex nord sas,France,,France,208875367.0,88211562.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,25060.0,kilograms,,,58281.5408,2.32568,france,sea (cont),vietnam_wmb04,-765711564,Scutched Flax Tow
2025/08/29,107482451420.0,1.0,53012100,"Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 524-3, tên khoa học: Linum usitatissimum. hàng mới 100%","Xơ lanh dạng ngắn đã đập dập, sấy khô dùng sản xuất xơ sợi dệt - FLAX SHORT FIBER TYPE 524-3, tên khoa học: Linum usitatissimum. hàng mới 100%",[],tex nord sas,France,,France,208875367.0,88211562.0,1.0,công ty tnhh dệt may meishengda việt nam,Vietnam,,Vietnam,192224748.0,74240043.0,0.0,20280.0,kilograms,,,49523.1516,2.44197,france,sea (cont),vietnam_wmb04,-765711561,Scutched Flax Tow
